127.0.0.1 - - [16/Jul/2018:10:50:46 +0800] "GET / HTTP/1.1" 200 11418
0:0:0:0:0:0:0:1 - - [16/Jul/2018:10:50:55 +0800] "GET / HTTP/1.1" 200 11418
0:0:0:0:0:0:0:1 - - [16/Jul/2018:10:50:56 +0800] "GET /tomcat.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jul/2018:10:50:56 +0800] "GET /tomcat.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jul/2018:10:50:56 +0800] "GET /bg-button.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jul/2018:10:50:56 +0800] "GET /asf-logo-wide.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jul/2018:10:50:56 +0800] "GET /bg-middle.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jul/2018:10:50:56 +0800] "GET /bg-nav.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jul/2018:10:50:56 +0800] "GET /bg-upper.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jul/2018:10:51:01 +0800] "GET /mvc HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jul/2018:10:51:02 +0800] "GET /mvc/ HTTP/1.1" 200 1119
0:0:0:0:0:0:0:1 - - [16/Jul/2018:10:51:02 +0800] "GET /mvc/scripts/jquery-1.7.2.js HTTP/1.1" 200 252881
